state,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10
Goa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,14.0,15.0,17.0,29.0,38.0,46.0,50.0,52.0,54.0,55.0,66.0,67.0,67.0,68.0,69.0,69.0,70.0,70.0,71.0,79.0,79.0,166.0,196.0,267.0,300.0,330.0,359.0,387.0,417.0,463.0,523.0,564.0,592.0,629.0,656.0,705.0,725.0,754.0,754.0,864.0,909.0,951.0,995.0,1039.0,1128.0,1198.0,1198.0,1315.0,1387.0,1482.0,1482.0,1684.0,1761.0,1813.0,1903.0,2039.0,2151.0,2251.0,2368.0,2453.0,2583.0,2753.0,2951.0,3108.0,3304.0,3484.0,3657.0,3853.0,4027.0,4176.0,4350.0,4540.0,4686.0,4861.0,5119.0,5287.0,5489.0,5704.0,5913.0,6193.0,6530.0,6816.0,7075.0,7423.0,7614.0,7947.0,8206.0,8712.0,9029.0,9444.0,9924.0,10494.0,10970.0,11339.0,11639.0,11994.0,12333.0,12675.0,13099.0,13484.0,13790.0,13999.0,14138.0,14530.0,15027.0,15483.0,16006.0,16553.0,17004.0,17418.0,18006.0,18642.0,19355.0,19863.0,20455.0,20829.0,21173.0,21630.0,22251.0
Gujarat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,18.0,29.0,33.0,38.0,43.0,43.0,45.0,58.0,69.0,73.0,82.0,87.0,95.0,105.0,122.0,144.0,165.0,165.0,179.0,241.0,308.0,432.0,539.0,617.0,695.0,871.0,1021.0,1272.0,1604.0,1851.0,2066.0,2272.0,2407.0,2624.0,2815.0,3071.0,3301.0,3548.0,3774.0,4082.0,4395.0,4721.0,5055.0,5428.0,5804.0,6245.0,6625.0,7012.0,7402.0,7796.0,8194.0,8541.0,8903.0,9267.0,9591.0,9931.0,10988.0,11379.0,11745.0,12140.0,12537.0,12905.0,13268.0,13664.0,14056.0,14460.0,14821.0,15195.0,15562.0,15934.0,16343.0,16779.0,17200.0,17617.0,18100.0,18584.0,19094.0,19592.0,20070.0,20545.0,21014.0,21521.0,22032.0,22527.0,23038.0,23544.0,24055.0,24577.0,25093.0,25601.0,26141.0,26680.0,27260.0,27825.0,28371.0,28943.0,29520.0,30095.0,30709.0,31320.0,31938.0,32557.0,33232.0,33913.0,34600.0,35312.0,36037.0,36772.0,37550.0,38333.0,39194.0,40069.0,40941.0,41820.0,42722.0,43637.0,44552.0,45481.0,46430.0,47390.0,48355.0,49353.0,50379.0,51399.0,52477.0,53545.0,54626.0,55822.0,56874.0,57982.0,59126.0,60285.0,61438.0,62463.0,63562.0,64585.0,65599.0,66669.0,67699.0,68768.0,69869.0,70965.0,72031.0,73163.0,74318.0,75408.0,76480.0,77559.0,78680.0,79710.0,80802.0,81942.0,83107.0,84311.0,85523.0,86624.0,87691.0,88805.0,89994.0,91179.0,92452.0,93734.0,95009.0,96300.0,97629.0,98888.0,100213.0,101533.0,102844.0,104179.0,105509.0,106804.0,108133.0
Haryana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,17.0,17.0,17.0,17.0,21.0,26.0,28.0,28.0,30.0,30.0,33.0,33.0,36.0,40.0,43.0,43.0,49.0,49.0,59.0,84.0,90.0,147.0,169.0,169.0,177.0,185.0,185.0,199.0,199.0,205.0,205.0,225.0,233.0,233.0,254.0,254.0,262.0,272.0,272.0,289.0,289.0,296.0,310.0,310.0,313.0,360.0,394.0,442.0,517.0,548.0,594.0,625.0,647.0,675.0,703.0,730.0,780.0,793.0,818.0,818.0,887.0,910.0,928.0,964.0,993.0,1031.0,1067.0,1131.0,1184.0,1184.0,1305.0,1381.0,1504.0,1721.0,1923.0,2091.0,2356.0,2652.0,2954.0,3281.0,3597.0,3952.0,4448.0,4854.0,5209.0,5579.0,5968.0,6334.0,6749.0,7208.0,7722.0,8272.0,8832.0,9218.0,9743.0,10223.0,10635.0,11025.0,11520.0,12010.0,12463.0,12884.0,13427.0,13829.0,14210.0,14548.0,14941.0,15509.0,16003.0,16548.0,17005.0,17504.0,17999.0,18690.0,19369.0,19934.0,20582.0,21240.0,21894.0,22628.0,23306.0,24002.0,24797.0,25547.0,26164.0,26858.0,27462.0,28186.0,28975.0,29755.0,30538.0,31332.0,32127.0,32876.0,33631.0,34254.0,34965.0,35758.0,36519.0,37173.0,37796.0,38548.0,39303.0,40054.0,40843.0,41635.0,42429.0,43227.0,44024.0,44817.0,45614.0,46410.0,47153.0,48040.0,48936.0,49930.0,50926.0,52129.0,53290.0,54386.0,55460.0,56608.0,58005.0,59298.0,60596.0,61987.0,63282.0,64732.0,66426.0,68218.0,70099.0,71983.0,74272.0,76549.0,78773.0,81059.0,83353.0
Himachal Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,6.0,6.0,13.0,13.0,18.0,18.0,28.0,28.0,32.0,32.0,32.0,33.0,35.0,35.0,38.0,39.0,39.0,39.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,41.0,42.0,45.0,46.0,50.0,50.0,55.0,59.0,65.0,66.0,74.0,76.0,78.0,80.0,90.0,92.0,110.0,152.0,168.0,185.0,203.0,223.0,247.0,273.0,276.0,295.0,313.0,331.0,340.0,345.0,359.0,383.0,393.0,400.0,413.0,421.0,445.0,451.0,470.0,486.0,502.0,518.0,556.0,560.0,569.0,595.0,619.0,656.0,673.0,727.0,775.0,806.0,839.0,864.0,894.0,916.0,942.0,953.0,979.0,1014.0,1033.0,1046.0,1063.0,1077.0,1083.0,1101.0,1140.0,1171.0,1182.0,1213.0,1243.0,1309.0,1341.0,1377.0,1417.0,1457.0,1483.0,1631.0,1664.0,1725.0,1834.0,1954.0,2049.0,2176.0,2270.0,2330.0,2403.0,2506.0,2564.0,2634.0,2703.0,2818.0,2879.0,2916.0,3047.0,3150.0,3264.0,3371.0,3463.0,3497.0,3636.0,3816.0,3874.0,3993.0,4156.0,4174.0,4235.0,4411.0,4538.0,4728.0,4895.0,5001.0,5101.0,5154.0,5321.0,5501.0,5637.0,5781.0,5945.0,6116.0,6255.0,6416.0,6615.0,6830.0,7018.0,7415.0,7660.0,7831.0,8147.0
Jammu and Kashmir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0,13.0,13.0,20.0,31.0,48.0,54.0,62.0,62.0,75.0,75.0,106.0,109.0,116.0,116.0,158.0,184.0,207.0,224.0,245.0,270.0,278.0,300.0,314.0,328.0,341.0,350.0,368.0,380.0,407.0,427.0,454.0,494.0,523.0,546.0,565.0,581.0,614.0,639.0,666.0,701.0,726.0,741.0,775.0,793.0,823.0,836.0,861.0,879.0,934.0,971.0,983.0,1013.0,1121.0,1183.0,1289.0,1317.0,1390.0,1449.0,1489.0,1569.0,1621.0,1668.0,1759.0,1921.0,2036.0,2164.0,2341.0,2446.0,2601.0,2718.0,2857.0,3142.0,3324.0,3467.0,4087.0,4285.0,4346.0,4507.0,4574.0,4730.0,4878.0,5041.0,5220.0,5298.0,5406.0,5555.0,5680.0,5834.0,5956.0,6088.0,6236.0,6422.0,6549.0,6762.0,6966.0,7093.0,7237.0,7497.0,7695.0,7849.0,8019.0,8246.0,8429.0,8675.0,8931.0,9261.0,9501.0,9888.0,10156.0,10513.0,10827.0,11173.0,11666.0,12156.0,12757.0,13198.0,13899.0,14650.0,15258.0,15711.0,16429.0,16782.0,17305.0,17920.0,18390.0,18879.0,19419.0,19869.0,20359.0,20972.0,21416.0,22006.0,22396.0,22955.0,23454.0,23927.0,24390.0,24897.0,25367.0,25931.0,26413.0,26949.0,27489.0,28021.0,28470.0,28892.0,29326.0,30034.0,30717.0,31371.0,31981.0,32647.0,33075.0,33776.0,34480.0,35135.0,35831.0,36377.0,37163.0,37698.0,38223.0,38864.0,39943.0,40990.0,42241.0,43557.0,44570.0,45925.0,47542.0
Jharkhand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,4.0,13.0,13.0,17.0,17.0,19.0,24.0,27.0,28.0,29.0,33.0,35.0,42.0,46.0,45.0,49.0,55.0,59.0,67.0,82.0,103.0,105.0,107.0,111.0,111.0,115.0,115.0,115.0,125.0,127.0,132.0,132.0,156.0,157.0,160.0,172.0,173.0,197.0,203.0,217.0,223.0,223.0,231.0,231.0,290.0,308.0,350.0,370.0,377.0,426.0,448.0,469.0,511.0,563.0,610.0,659.0,712.0,752.0,793.0,881.0,1000.0,1099.0,1256.0,1411.0,1489.0,1599.0,1617.0,1711.0,1745.0,1763.0,1839.0,1895.0,1920.0,1965.0,1965.0,2073.0,2137.0,2185.0,2207.0,2262.0,2290.0,2339.0,2364.0,2426.0,2490.0,2521.0,2584.0,2695.0,2739.0,2781.0,2847.0,2996.0,3096.0,3246.0,3419.0,3613.0,3756.0,3898.0,4091.0,4320.0,4624.0,4921.0,5342.0,5535.0,5756.0,6159.0,6485.0,6975.0,7493.0,7836.0,8275.0,8683.0,9078.0,9861.0,10167.0,10958.0,11686.0,12523.0,13478.0,13940.0,14888.0,15756.0,16465.0,17094.0,18138.0,18723.0,19225.0,19743.0,20881.0,21595.0,22389.0,23055.0,23752.0,24477.0,26090.0,26753.0,28196.0,28571.0,29677.0,31005.0,31973.0,33046.0,34396.0,35321.0,36857.0,38435.0,41656.0,43833.0,44862.0,46480.0,48039.0,49797.0,51063.0,52620.0,55296.0,56897.0
Karnataka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0,11.0,11.0,14.0,15.0,15.0,26.0,33.0,37.0,41.0,55.0,55.0,55.0,76.0,83.0,83.0,101.0,110.0,124.0,128.0,144.0,151.0,175.0,175.0,181.0,197.0,214.0,226.0,247.0,258.0,277.0,315.0,353.0,371.0,384.0,395.0,415.0,425.0,443.0,463.0,489.0,501.0,511.0,520.0,532.0,557.0,576.0,589.0,606.0,642.0,659.0,671.0,693.0,705.0,753.0,794.0,848.0,862.0,925.0,959.0,987.0,1056.0,1092.0,1147.0,1246.0,1397.0,1462.0,1605.0,1743.0,1959.0,2089.0,2182.0,2283.0,2418.0,2533.0,2781.0,2922.0,3221.0,3408.0,3796.0,4063.0,4320.0,4835.0,5213.0,5452.0,5760.0,5921.0,6041.0,6245.0,6516.0,6824.0,7000.0,7213.0,7530.0,7734.0,7944.0,8281.0,8697.0,9150.0,9399.0,9721.0,10118.0,10560.0,11005.0,11923.0,13190.0,14295.0,15242.0,16514.0,18016.0,19710.0,21549.0,23474.0,25317.0,26815.0,28877.0,31105.0,33418.0,36216.0,38843.0,41581.0,44077.0,47253.0,51422.0,55115.0,59652.0,63772.0,67420.0,71069.0,75833.0,80863.0,85870.0,90942.0,96141.0,101465.0,107001.0,112504.0,118632.0,124115.0,129287.0,134819.0,139571.0,145830.0,151449.0,158254.0,164924.0,172102.0,178087.0,182354.0,188611.0,196494.0,203200.0,211108.0,219926.0,226966.0,233283.0,240948.0,249590.0,256975.0,264546.0,271876.0,277814.0,283665.0,291826.0,300406.0,309792.0,318752.0,327076.0,335928.0,342423.0,351481.0,361341.0,370206.0,379486.0,389232.0,398551.0,404324.0,412190.0,421730.0
Kerala,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,8.0,9.0,15.0,17.0,17.0,19.0,19.0,22.0,23.0,26.0,27.0,27.0,28.0,40.0,52.0,67.0,95.0,109.0,118.0,137.0,176.0,182.0,202.0,234.0,241.0,265.0,286.0,295.0,306.0,314.0,327.0,336.0,345.0,357.0,364.0,374.0,376.0,379.0,387.0,388.0,395.0,396.0,400.0,402.0,408.0,427.0,438.0,448.0,451.0,458.0,469.0,482.0,486.0,496.0,497.0,497.0,500.0,500.0,500.0,502.0,503.0,503.0,503.0,505.0,512.0,519.0,524.0,534.0,560.0,576.0,587.0,601.0,630.0,642.0,666.0,690.0,732.0,795.0,847.0,896.0,963.0,1004.0,1088.0,1150.0,1208.0,1269.0,1326.0,1412.0,1494.0,1588.0,1699.0,1807.0,1914.0,2005.0,2096.0,2161.0,2244.0,2322.0,2407.0,2461.0,2543.0,2622.0,2697.0,2794.0,2912.0,3039.0,3172.0,3310.0,3451.0,3603.0,3726.0,3876.0,4071.0,4189.0,4189.0,4442.0,4593.0,4753.0,4964.0,5204.0,5429.0,5622.0,5894.0,6195.0,6534.0,6950.0,7438.0,7873.0,8322.0,8930.0,9553.0,10275.0,11066.0,11659.0,12480.0,13274.0,13994.0,15032.0,16110.0,16995.0,18098.0,19025.0,19727.0,20894.0,21797.0,22303.0,23613.0,24742.0,25911.0,26873.0,27956.0,29151.0,30449.0,31700.0,33120.0,34331.0,35515.0,36932.0,38144.0,39708.0,41277.0,42885.0,44415.0,46140.0,47898.0,50231.0,52199.0,54182.0,56354.0,58262.0,59504.0,61879.0,64355.0,66761.0,69304.0,71701.0,73855.0,75385.0,76525.0,78072.0,79625.0,82104.0,84759.0,87841.0,89489.0,92515.0,95917.0
Ladakh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,6.0,8.0,8.0,10.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0,17.0,17.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,20.0,20.0,20.0,22.0,22.0,22.0,22.0,22.0,40.0,41.0,41.0,41.0,41.0,42.0,42.0,42.0,42.0,42.0,42.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,44.0,44.0,44.0,49.0,52.0,52.0,53.0,53.0,73.0,74.0,74.0,74.0,77.0,81.0,90.0,90.0,97.0,99.0,103.0,103.0,108.0,115.0,135.0,239.0,437.0,549.0,555.0,649.0,687.0,687.0,744.0,836.0,837.0,847.0,932.0,941.0,941.0,946.0,960.0,963.0,964.0,973.0,990.0,990.0,1001.0,1005.0,1005.0,1005.0,1041.0,1041.0,1055.0,1064.0,1077.0,1086.0,1093.0,1093.0,1142.0,1147.0,1151.0,1159.0,1178.0,1195.0,1198.0,1206.0,1210.0,1246.0,1276.0,1285.0,1306.0,1327.0,1347.0,1378.0,1404.0,1462.0,1466.0,1485.0,1534.0,1592.0,1595.0,1614.0,1639.0,1688.0,1717.0,1770.0,1811.0,1849.0,1879.0,1909.0,1948.0,1966.0,2010.0,2048.0,2077.0,2133.0,2210.0,2279.0,2330.0,2420.0,2451.0,2492.0,2540.0,2603.0,2638.0,2681.0,2733.0,2785.0,2840.0,2935.0,2996.0,3036.0,3064.0,3102.0,3142.0
Madhya Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,6.0,7.0,14.0,20.0,20.0,30.0,30.0,47.0,47.0,66.0,99.0,104.0,104.0,165.0,165.0,229.0,229.0,259.0,259.0,443.0,564.0,604.0,730.0,987.0,1120.0,1308.0,1355.0,1407.0,1485.0,1540.0,1592.0,1695.0,1852.0,1952.0,2096.0,2168.0,2368.0,2561.0,2660.0,2719.0,2719.0,2846.0,2942.0,3049.0,3049.0,3138.0,3252.0,3341.0,3614.0,3614.0,3785.0,3986.0,4173.0,4426.0,4595.0,4789.0,4977.0,5236.0,5465.0,5735.0,5981.0,6170.0,6371.0,6665.0,6859.0,7024.0,7261.0,7453.0,7645.0,7891.0,8089.0,8283.0,8420.0,8588.0,8762.0,8996.0,9228.0,9401.0,9638.0,9849.0,10049.0,10241.0,10443.0,10641.0,10802.0,10935.0,11083.0,11244.0,11426.0,11582.0,11724.0,11903.0,12078.0,12261.0,12448.0,12596.0,12798.0,12965.0,13186.0,13370.0,13593.0,13861.0,14106.0,14297.0,14604.0,14930.0,15284.0,15627.0,16036.0,16341.0,16657.0,17201.0,17632.0,18207.0,19005.0,19643.0,20378.0,21081.0,21763.0,22600.0,23310.0,24095.0,24842.0,25474.0,26210.0,26926.0,27800.0,28589.0,29217.0,30134.0,30968.0,31806.0,32614.0,33535.0,34285.0,35082.0,35734.0,36564.0,37298.0,38157.0,39025.0,39891.0,40734.0,41604.0,42618.0,43414.0,44433.0,45455.0,46385.0,47375.0,48351.0,49493.0,50640.0,51866.0,53129.0,54421.0,55800.0,56864.0,58181.0,59433.0,60875.0,62433.0,63965.0,65490.0,66914.0,68586.0,70244.0,71880.0,73574.0,75459.0,77323.0,79192.0
Maharashtra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,11.0,14.0,14.0,32.0,32.0,39.0,42.0,47.0,52.0,63.0,67.0,74.0,89.0,128.0,124.0,130.0,180.0,186.0,198.0,216.0,302.0,335.0,335.0,490.0,490.0,748.0,868.0,1018.0,1135.0,1364.0,1574.0,1761.0,1985.0,2337.0,2687.0,2919.0,3205.0,3323.0,3651.0,4203.0,4669.0,5221.0,5652.0,6430.0,6817.0,7628.0,8068.0,8590.0,9318.0,9915.0,10498.0,11506.0,12296.0,12974.0,14541.0,15525.0,16758.0,17974.0,19063.0,20228.0,22171.0,23401.0,24427.0,25922.0,27524.0,29100.0,30706.0,33053.0,35058.0,37136.0,39297.0,41642.0,44582.0,47190.0,50231.0,52667.0,54758.0,56948.0,59546.0,62228.0,65168.0,67655.0,70013.0,72300.0,74860.0,77793.0,80229.0,82968.0,85975.0,88528.0,90787.0,94041.0,97648.0,101141.0,104568.0,107958.0,110744.0,113445.0,116752.0,120504.0,124331.0,128205.0,132075.0,135796.0,139010.0,142900.0,147741.0,152765.0,159133.0,164626.0,169883.0,174761.0,180298.0,186626.0,192990.0,200064.0,206619.0,211987.0,217121.0,223724.0,230599.0,238461.0,246600.0,254427.0,260924.0,267665.0,275640.0,284281.0,292589.0,300937.0,310455.0,318695.0,327031.0,337607.0,347502.0,357117.0,366368.0,375799.0,383723.0,391440.0,400651.0,411798.0,422118.0,431719.0,441228.0,450196.0,457956.0,468265.0,479779.0,490262.0,503084.0,515332.0,524513.0,535601.0,548313.0,560126.0,572734.0,584754.0,595865.0,604358.0,615477.0,628642.0,643289.0,657450.0,671942.0,682383.0,693398.0,703823.0,718711.0,733568.0,747995.0,764281.0,780689.0,792541.0,808306.0,825739.0,843844.0,863062.0,883862.0,907212.0,923641.0,943772.0,967349.0
Manipur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,7.0,7.0,7.0,9.0,25.0,25.0,26.0,29.0,32.0,39.0,39.0,44.0,55.0,59.0,62.0,71.0,83.0,89.0,118.0,124.0,132.0,157.0,172.0,272.0,304.0,311.0,366.0,385.0,449.0,458.0,490.0,500.0,552.0,606.0,681.0,777.0,841.0,898.0,921.0,970.0,1056.0,1075.0,1092.0,1185.0,1227.0,1234.0,1260.0,1279.0,1316.0,1325.0,1366.0,1390.0,1430.0,1435.0,1450.0,1582.0,1593.0,1609.0,1626.0,1672.0,1700.0,1764.0,1800.0,1891.0,1911.0,1925.0,2015.0,2060.0,2115.0,2146.0,2176.0,2235.0,2286.0,2317.0,2458.0,2505.0,2621.0,2756.0,2831.0,2920.0,3018.0,3093.0,3217.0,3466.0,3635.0,3753.0,3853.0,3941.0,3982.0,4112.0,4198.0,4390.0,4569.0,4687.0,4765.0,4876.0,4925.0,5049.0,5132.0,5246.0,5362.0,5444.0,5585.0,5725.0,5843.0,5960.0,6112.0,6252.0,6382.0,6507.0,6609.0,6699.0,6883.0,7022.0,7106.0,7202.0,7362.0
